token,occurrences,total_weight_toward_negative,mean_weight_toward_negative
did,2,-0.0018,-0.0009
superuser,1,-0.0009,-0.00092
the,27,-0.0292,-0.00108
where,1,-0.0011,-0.00114
46,1,-0.0012,-0.0012
flajector,1,-0.0013,-0.00127
case,1,-0.0015,-0.00145
reserved,1,-0.0014,-0.00145
request,1,-0.0019,-0.00193
swp_noactivate,1,-0.002,-0.00197
swing,1,-0.0024,-0.0024
setwindowpos,1,-0.0027,-0.00271
now,1,-0.0027,-0.00274
2010,1,-0.0036,-0.00356
out,2,-0.0071,-0.00357
embedding,1,-0.0044,-0.00436
ls,1,-0.0044,-0.00445
3,2,-0.0092,-0.0046
or,1,-0.0048,-0.00476
bos,1,-0.005,-0.00499
ruby,1,-0.0059,-0.00595
event,1,-0.0063,-0.00626
nmosafi,1,-0.0069,-0.00691
sql,1,-0.0073,-0.00729
opengl,1,-0.0079,-0.00787
include,1,-0.0081,-0.00807
yes,1,-0.0086,-0.00863
sharepoint,2,-0.0176,-0.00878
will,2,-0.0182,-0.00911
altering,1,-0.0107,-0.01071
in,10,-0.1127,-0.01127
aspcomet,1,-0.0117,-0.01169
about,1,-0.0124,-0.01244
re,2,-0.0258,-0.01288
glut,1,-0.0129,-0.01289
package,1,-0.0131,-0.01309
example,1,-0.0137,-0.01372
depends,1,-0.0138,-0.0138
variables,3,-0.0437,-0.01455
clustered,1,-0.0148,-0.01476
uiview,1,-0.0151,-0.01513
locale,1,-0.0152,-0.01521
current,1,-0.016,-0.01599
help,1,-0.0161,-0.01608
get,5,-0.0806,-0.01612
dll,1,-0.0168,-0.01677
preferred,1,-0.0169,-0.01688
binary,1,-0.0169,-0.01688
stackoverflow,1,-0.0169,-0.01694
objects,1,-0.0173,-0.01725
would,6,-0.1037,-0.01728
performance,1,-0.0181,-0.0181
environment,2,-0.0366,-0.01829
1,3,-0.0567,-0.0189
group,1,-0.0191,-0.01912
examples,1,-0.0193,-0.01928
make,3,-0.0581,-0.01936
looking,2,-0.0391,-0.01955
css,1,-0.0197,-0.0197
engine,1,-0.0205,-0.02047
installed,1,-0.0205,-0.02055
chris,1,-0.0206,-0.02058
appropriate,1,-0.0211,-0.02111
matches,1,-0.0216,-0.02157
also,2,-0.0437,-0.02187
w,3,-0.0673,-0.02244
box,1,-0.0225,-0.02252
see,3,-0.0679,-0.02262
answer,3,-0.0685,-0.02283
be,6,-0.1383,-0.02305
format,1,-0.0239,-0.02392
following,2,-0.0479,-0.02396
00,1,-0.0244,-0.02438
can,7,-0.1715,-0.02449
describes,1,-0.0249,-0.02491
requirements,1,-0.0251,-0.02514
job,1,-0.0254,-0.02544
using,3,-0.0791,-0.02635
started,1,-0.0265,-0.02646
could,2,-0.053,-0.02652
without,2,-0.0536,-0.02678
naming,1,-0.0273,-0.02725
?,30,-0.8336,-0.02779
memory,1,-0.0279,-0.02791
codeplex,1,-0.0286,-0.02857
constantly,1,-0.0289,-0.02887
equivalent,1,-0.03,-0.02999
maximum,1,-0.0304,-0.03043
do,7,-0.2134,-0.03048
take,1,-0.0306,-0.03056
should,9,-0.2756,-0.03062
consider,1,-0.0315,-0.03148
how,12,-0.383,-0.03191
oracle,2,-0.0649,-0.03247
templates,1,-0.0329,-0.03294
picked,1,-0.0333,-0.03327
methods,1,-0.0336,-0.03357
latest,1,-0.034,-0.03397
set,1,-0.0342,-0.03415
net,3,-0.1027,-0.03423
beefcace,1,-0.0344,-0.03445
etc,1,-0.0347,-0.0347
manage,1,-0.0348,-0.03478
2005,1,-0.035,-0.03497
elements,1,-0.0352,-0.03518
you,23,-0.8102,-0.03523
update,1,-0.0358,-0.03576
haven,1,-0.0361,-0.03614
some,3,-0.1091,-0.03636
table,1,-0.0368,-0.03678
expression,1,-0.0371,-0.03714
com,4,-0.1495,-0.03738
use,3,-0.1122,-0.03741
updated,1,-0.0375,-0.03745
text,1,-0.0377,-0.03765
24,1,-0.0382,-0.0382
column,1,-0.0387,-0.03872
similar,1,-0.039,-0.03899
what,7,-0.2753,-0.03933
bind,1,-0.0398,-0.03978
dbml,1,-0.04,-0.04002
missing,2,-0.0811,-0.04055
references,1,-0.0408,-0.04078
were,2,-0.0819,-0.04097
them,2,-0.0824,-0.04122
talking,3,-0.1246,-0.04153
moved,1,-0.0415,-0.04154
perl,1,-0.0419,-0.04185
things,3,-0.1266,-0.04219
allows,1,-0.0425,-0.04254
issue,2,-0.0851,-0.04256
0,1,-0.0427,-0.04269
java,2,-0.0862,-0.04312
strings,1,-0.0432,-0.04316
enter,1,-0.0436,-0.04361
api,2,-0.0875,-0.04376
difference,2,-0.0882,-0.04412
if,7,-0.3104,-0.04435
8,2,-0.089,-0.04452
return,2,-0.0892,-0.04461
for,11,-0.4984,-0.04531
your,13,-0.5923,-0.04556
parse,1,-0.0458,-0.0458
project,1,-0.046,-0.04595
library,1,-0.0466,-0.04658
worked,1,-0.0477,-0.04768
other,2,-0.0956,-0.04779
exe,1,-0.0485,-0.04854
files,1,-0.049,-0.04896
vulnerable,1,-0.049,-0.049
correct,1,-0.0491,-0.04914
simplest,1,-0.05,-0.04998
false,1,-0.0504,-0.05035
github,2,-0.101,-0.05051
utf,1,-0.0506,-0.05064
half,1,-0.0511,-0.05114
article,2,-0.1028,-0.05139
th,1,-0.0516,-0.05156
number,2,-0.1031,-0.05157
there,8,-0.4146,-0.05182
they,2,-0.1042,-0.05209
too,1,-0.0522,-0.05215
layer,1,-0.0522,-0.05216
able,4,-0.2091,-0.05226
connect,1,-0.0524,-0.05241
work,5,-0.2651,-0.05301
does,1,-0.0531,-0.05315
check,1,-0.0533,-0.05328
document,1,-0.0533,-0.05332
exactly,1,-0.0537,-0.05368
btw,2,-0.108,-0.05401
arrays,1,-0.0547,-0.05472
splint,1,-0.0548,-0.05478
try,5,-0.2745,-0.0549
think,3,-0.1655,-0.05518
essentially,1,-0.0559,-0.05594
kind,1,-0.0562,-0.0562
end,2,-0.1129,-0.05646
machine,1,-0.0565,-0.05648
rely,1,-0.0568,-0.05676
only,1,-0.0569,-0.05692
demo,1,-0.057,-0.05702
look,1,-0.0585,-0.05851
easy,2,-0.1177,-0.05885
desirable,2,-0.118,-0.05901
someone,1,-0.0592,-0.05918
better,1,-0.0593,-0.05932
an,4,-0.239,-0.05974
rails,2,-0.1196,-0.05981
ioc,1,-0.06,-0.05998
part,1,-0.0602,-0.06016
third,1,-0.0604,-0.06042
non,2,-0.1224,-0.0612
port,1,-0.0613,-0.06125
possible,2,-0.1243,-0.06215
ant,1,-0.0633,-0.0633
solution,2,-0.1286,-0.06429
database,2,-0.1312,-0.06561
many,2,-0.1318,-0.0659
injection,1,-0.0682,-0.06818
data,1,-0.0695,-0.06948
question,6,-0.4175,-0.06959
into,3,-0.2093,-0.06977
any,3,-0.2105,-0.07016
knows,1,-0.0704,-0.07038
often,1,-0.0716,-0.0716
may,1,-0.0716,-0.07162
generally,1,-0.0725,-0.0725
by,1,-0.0727,-0.07266
instead,3,-0.2218,-0.07392
xml,2,-0.1507,-0.07535
child,1,-0.0771,-0.07706
framework,1,-0.0781,-0.07807
url,2,-0.1572,-0.0786
recommend,2,-0.1576,-0.0788
create,2,-0.1608,-0.0804
ability,1,-0.081,-0.08102
own,1,-0.0837,-0.08369
php,1,-0.0854,-0.08535
like,6,-0.5137,-0.08562
string,4,-0.3446,-0.08616
list,1,-0.0864,-0.08636
new,4,-0.3477,-0.08693
switch,1,-0.0885,-0.08854
link,1,-0.0903,-0.09033
works,4,-0.3622,-0.09054
good,1,-0.0931,-0.09311
output,2,-0.1869,-0.09346
thanks,1,-0.0937,-0.09373
forgot,1,-0.0944,-0.09439
confirm,1,-0.0953,-0.09527
wrote,1,-0.0962,-0.09618
safari,1,-0.0994,-0.09945
virtual,1,-0.0999,-0.09991
mark,1,-0.1011,-0.10112
maybe,1,-0.1015,-0.1015
documents,1,-0.1109,-0.11087
vpn,1,-0.114,-0.11396
call,1,-0.1141,-0.11414
gc,1,-0.1193,-0.11926
below,1,-0.1278,-0.12781
worry,5,-0.6526,-0.13051
perhaps,1,-0.1404,-0.14042
inheritance,1,-0.1495,-0.14947
said,2,-0.3294,-0.16469
excellent,1,-0.1657,-0.16565
expect,1,-0.2058,-0.20579
https,2,-0.7896,-0.39482
http,5,-2.0752,-0.41504
