domain,model_name,accuracy,macro_f1,weighted_f1,f1_negative,f1_neutral,f1_positive,se_neutral_to_negative_rate,health_positive_to_negative_rate
se,majority,0.3846153846153846,0.1851851851851852,0.2136752136752136,0.0,0.5555555555555556,0.0,0.0,0.0
se,vader,0.7153846153846154,0.7078616992584975,0.7066727250027732,0.6889460154241646,0.6432160804020101,0.7914230019493177,0.252,0.07142857142857142
health,majority,0.5594059405940595,0.2391534391534391,0.4013515637278013,0.0,0.0,0.7174603174603175,0.0,0.0
health,vader,0.4851485148514851,0.3503354418248035,0.5250009963618558,0.5297297297297298,0.0,0.5212765957446809,0.0,0.415929203539823
se,tfidf11_mnb,0.74,0.7330820640086114,0.7378615466563924,0.6622073578595318,0.7217235188509874,0.8153153153153153,0.084,0.0133928571428571
se,tfidf11_lr,0.8092307692307692,0.8070173817468791,0.8101974484461044,0.7542857142857143,0.7891682785299806,0.8775981524249422,0.136,0.0357142857142857
se,tfidf11_svm,0.8123076923076923,0.808147664093463,0.8120227621554003,0.746268656716418,0.7907869481765835,0.8873873873873874,0.12,0.0178571428571428
se,tfidf12_mnb,0.7661538461538462,0.7601427283356577,0.765173751477581,0.6832298136645962,0.7439252336448599,0.8532731376975169,0.12,0.0267857142857142
se,tfidf12_lr,0.8138461538461539,0.810762044503807,0.8153175927889686,0.7436619718309859,0.8007736943907157,0.8878504672897196,0.14,0.0535714285714285
se,tfidf12_svm,0.8153846153846154,0.8103246773764633,0.8155395512803352,0.7283582089552239,0.7893738140417458,0.91324200913242,0.128,0.0223214285714285
se,tfidf13_mnb,0.76,0.7546229067299329,0.7596766351613791,0.6728395061728395,0.7299813780260708,0.8610478359908884,0.132,0.0267857142857142
se,tfidf13_lr,0.8261538461538461,0.82329715876114,0.827123904919607,0.7605633802816901,0.8031496062992126,0.9061784897025172,0.148,0.03125
se,tfidf13_svm,0.8307692307692308,0.8275000805435587,0.8310575822923649,0.7657142857142857,0.8023715415019763,0.9144144144144144,0.144,0.0178571428571428
se,glove_gnb,0.5676923076923077,0.5668127176721717,0.5726590443597521,0.5333333333333333,0.6511627906976745,0.5159420289855072,0.392,0.4955357142857143
se,glove_lr,0.7076923076923077,0.7054366138323308,0.7091190135223484,0.6434782608695652,0.683111954459203,0.7897196261682243,0.172,0.0669642857142857
se,glove_svm,0.7015384615384616,0.6935780910506474,0.7003119569770124,0.6,0.6891651865008881,0.7915690866510539,0.124,0.0446428571428571
se,w2v_gnb,0.5769230769230769,0.5813436780042487,0.5843299661487792,0.5518453427065027,0.6015424164524421,0.5906432748538012,0.496,0.5
se,w2v_lr,0.7046153846153846,0.7020100715509451,0.7071174684371343,0.6263736263736264,0.6900584795321637,0.789598108747045,0.204,0.1026785714285714
se,w2v_svm,0.7138461538461538,0.7058811092796419,0.7129574521734258,0.61198738170347,0.7094474153297683,0.7962085308056872,0.116,0.0669642857142857
